kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
floorNav,消控室|||S3|||toElevator,1楼,G0039,19,14,5,1,1,0,40.684793,40.684793,20.772,20.772
floorNav,消控室|||S4|||fromElevator,1楼,G0040,13,11,2,2,2,0,51.907727,51.907727,20.197,20.197
floorNav,消控室|||S4|||toElevator,1楼,G0040,13,11,2,2,2,0,51.907727,51.907727,20.197,20.197
floorNav,消控室|||S5|||fromElevator,1楼,G0041,13,11,2,1,1,0,53.106103,53.106103,20.197,20.197
floorNav,消控室|||S5|||toElevator,1楼,G0041,13,11,2,1,1,0,53.106103,53.106103,20.197,20.197
floorNav,消控室|||S6|||fromElevator,1楼,G0042,27,25,2,1,1,0,91.637363,91.637363,20.197,20.197
floorNav,消控室|||S6|||toElevator,1楼,G0042,27,25,2,1,1,0,91.637363,91.637363,20.197,20.197
floorNav,西药房|||S1|||fromElevator,1楼,G0001,21,11,10,4,4,0,47.595923,47.595923,20.375,20.375
floorNav,西药房|||S1|||toElevator,1楼,G0001,21,11,10,4,4,0,47.595923,47.595923,20.375,20.375
floorNav,西药房|||S2|||fromElevator,1楼,G0002,8,5,3,1,1,0,21.248182,21.248182,20.984,20.984
floorNav,西药房|||S2|||toElevator,1楼,G0002,8,5,3,1,1,0,21.248182,21.248182,20.984,20.984
floorNav,西药房|||S6|||fromElevator,1楼,G0006,23,9,14,0,0,0,46.377392,46.377392,20.375,20.375
floorNav,西药房|||S6|||toElevator,1楼,G0006,23,9,14,0,0,0,46.377392,46.377392,20.375,20.375
floorNav,输液室|||S2|||fromElevator,1楼,G0044,7,6,1,1,1,0,28.515669,28.515669,20.197,20.197
floorNav,输液室|||S2|||toElevator,1楼,G0044,7,6,1,1,1,0,28.515669,28.515669,20.197,20.197
floorNav,输液室|||S4|||fromElevator,1楼,G0046,16,5,11,1,1,0,15.691686,15.691686,20.772,20.772
floorNav,输液室|||S4|||toElevator,1楼,G0046,16,5,11,1,1,0,15.691686,15.691686,20.772,20.772
sameFloor,中药房|||儿科门诊,1楼,G0049,25,8,17,1,1,0,41.555153,41.555153,20.772,20.772
sameFloor,中药房|||大伤门诊,1楼,G0050,10,9,1,1,1,0,46.154669,46.154669,20.591,20.591
sameFloor,中药房|||挂号缴费,1楼,G0052,42,7,35,0,0,0,23.600017,23.600017,20.378,20.378
sameFloor,中药房|||消控室,1楼,G0054,12,11,1,1,1,0,51.842001,51.842001,20.197,20.197
sameFloor,儿科门诊|||中药房,1楼,G0049,25,8,17,1,1,0,41.555153,41.555153,20.772,20.772
sameFloor,儿科门诊|||挂号缴费,1楼,G0059,28,4,24,1,1,0,22.081602,22.081602,20.197,20.197
sameFloor,儿科门诊|||放射科,1楼,G0060,22,10,12,5,5,0,59.050752,59.050752,20.397,20.397
sameFloor,儿科门诊|||消控室,1楼,G0061,28,16,12,3,3,0,87.243351,87.243351,20.375,20.375
sameFloor,儿科门诊|||西药房,1楼,G0049,25,8,17,1,1,0,41.555153,41.555153,20.772,20.772
sameFloor,大伤门诊|||中药房,1楼,G0050,10,9,1,1,1,0,46.154669,46.154669,20.591,20.591
sameFloor,大伤门诊|||西药房,1楼,G0050,10,9,1,1,1,0,46.154669,46.154669,20.591,20.591
sameFloor,急诊科|||挂号缴费,1楼,G0068,20,8,12,2,2,0,51.375146,51.375146,20.197,20.197
sameFloor,急诊科|||消控室,1楼,G0070,18,7,11,2,2,0,62.596118,62.596118,20.375,20.375
sameFloor,急诊科|||输液室,1楼,G0071,29,7,22,2,2,0,37.039136,37.039136,20.197,20.197
sameFloor,挂号缴费|||中药房,1楼,G0052,42,7,35,0,0,0,23.600017,23.600017,20.378,20.378
sameFloor,挂号缴费|||儿科门诊,1楼,G0059,28,4,24,1,1,0,22.081602,22.081602,20.197,20.197
